label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	2	attention_output	768-1024	21	0.378279368	0.114010767	-0.007488143	-0.005060392	-0.093750000	nan	nan	nan
base_k100	2	attention_output	all	592	0.429314444	0.115578366	-0.007078741	-0.004302665	-0.076594172	nan	nan	nan
base_k100	2	input	0-64	320	0.399250818	0.056748377	-0.001267316	-0.000510395	+0.016406250	nan	nan	nan
base_k100	2	input	1024-1000000000	196	0.499327882	0.048778593	+0.000939223	-0.000059929	+0.106505102	nan	nan	nan
base_k100	2	input	256-512	20	0.399424046	0.049718066	+0.001093858	+0.000007495	+0.087500000	nan	nan	nan
base_k100	2	input	512-768	20	0.399346656	0.055584927	+0.000611460	-0.000302696	+0.050000000	nan	nan	nan
base_k100	2	input	64-256	15	0.399302888	0.056528119	+0.004058933	-0.000229305	+0.266666667	nan	nan	nan
base_k100	2	input	768-1024	21	0.380464361	0.048398149	+0.003024470	+0.000198323	+0.154761905	nan	nan	nan
base_k100	2	input	all	592	0.431728438	0.053175282	-0.000106333	-0.000304479	+0.061021959	nan	nan	nan
base_k100	2	mlp_output	0-64	320	0.398886126	0.062952120	+0.008263108	+0.003620089	+0.023828125	nan	nan	nan
base_k100	2	mlp_output	1024-1000000000	196	0.499650766	0.037808107	-0.000578999	-0.000728952	-0.017378827	nan	nan	nan
base_k100	2	mlp_output	256-512	20	0.399573067	0.046960669	-0.001268256	-0.003502810	-0.028125000	nan	nan	nan
base_k100	2	mlp_output	512-768	20	0.399646685	0.043861167	+0.001907021	+0.001743233	+0.031250000	nan	nan	nan
base_k100	2	mlp_output	64-256	15	0.399598376	0.048098018	-0.032583427	-0.023746133	-0.462500000	nan	nan	nan
base_k100	2	mlp_output	768-1024	21	0.380672341	0.037986715	-0.015528690	-0.008944381	-0.139880952	nan	nan	nan
base_k100	2	mlp_output	all	592	0.431668244	0.051102040	+0.002919987	+0.000737058	-0.009448902	nan	nan	nan
base_k100	2	moe_output	0-64	320	0.395968339	0.128444221	+0.000525498	+0.000398437	+0.002062988	nan	nan	nan
base_k100	2	moe_output	1024-1000000000	196	0.497342994	0.099610095	-0.000428691	-0.000340002	-0.003748057	nan	nan	nan
base_k100	2	moe_output	256-512	20	0.397110805	0.121889041	-0.001353165	-0.001089139	-0.008789062	nan	nan	nan
base_k100	2	moe_output	512-768	20	0.398295623	0.096265225	-0.001526798	-0.001047151	-0.011132813	nan	nan	nan
base_k100	2	moe_output	64-256	15	0.396307977	0.129640945	-0.000609107	+0.000049298	-0.017447917	nan	nan	nan
base_k100	2	moe_output	768-1024	21	0.378945870	0.095872288	-0.000680766	-0.000454913	-0.005836124	nan	nan	nan
base_k100	2	moe_output	all	592	0.429053559	0.115205889	+0.000005243	+0.000015743	-0.001447935	nan	nan	nan
base_k100	2	output	0-64	320	0.399345579	0.048634696	+0.001510801	+0.000625664	-0.014843750	nan	nan	nan
base_k100	2	output	1024-1000000000	196	0.499636696	0.035801521	-0.001239207	-0.000469655	-0.011479592	nan	nan	nan
base_k100	2	output	256-512	20	0.399635202	0.041338163	-0.000355262	-0.000120768	+0.037500000	nan	nan	nan
